accel.x_mean,accel.x_std,accel.x_min,accel.x_max,accel.x_energy,accel.x_dom_freq,accel.y_mean,accel.y_std,accel.y_min,accel.y_max,accel.y_energy,accel.y_dom_freq,accel.z_mean,accel.z_std,accel.z_min,accel.z_max,accel.z_energy,accel.z_dom_freq,gyro.x_mean,gyro.x_std,gyro.x_min,gyro.x_max,gyro.x_energy,gyro.x_dom_freq,gyro.y_mean,gyro.y_std,gyro.y_min,gyro.y_max,gyro.y_energy,gyro.y_dom_freq,gyro.z_mean,gyro.z_std,gyro.z_min,gyro.z_max,gyro.z_energy,gyro.z_dom_freq,label,source
-2.9276,0.030565339847611738,-3.0,-2.86,428.5888,0.0,8.7216,0.024113066996962525,8.66,8.8,3803.3444000000004,0.0,-4.3288,0.03614636911226353,-4.4,-4.27,936.9908,0.0,0.011600000000000001,0.003666060555964672,0.01,0.02,0.007400000000000001,0.0,0.0386,0.005660388679233963,0.03,0.05,0.07610000000000001,0.0,-0.001,0.005,-0.01,0.01,0.0013000000000000002,2.8560000000000003,repos,repos_initial_FV.csv
-2.927,0.02624880949681339,-3.0,-2.88,428.40090000000004,0.0,8.732800000000001,0.026536013264995193,8.69,8.8,3813.1250000000005,0.0,-4.3182,0.033626775046084995,-4.42,-4.26,932.3991,0.0,0.012200000000000003,0.005015974481593782,0.0,0.02,0.0087,0.0,0.038200000000000005,0.006539113089708727,0.02,0.05,0.07510000000000001,0.0,-0.0076,0.004270831300812524,-0.01,-0.0,0.0037999999999999996,0.0,repos,repos_initial_FV.csv
-2.9332,0.03420175434096912,-3.03,-2.87,430.2416,0.0,8.7228,0.033468791433214407,8.62,8.81,3804.4180000000006,0.0,-4.3184000000000005,0.03100709596205361,-4.39,-4.26,932.477,0.0,0.012400000000000001,0.0054990908339470086,0.0,0.02,0.0092,0.0,0.03540000000000001,0.007800000000000001,0.01,0.05,0.06570000000000001,0.0,-0.005600000000000001,0.004963869458396343,-0.01,-0.0,0.0028000000000000004,0.0,repos,repos_initial_FV.csv
-2.9424,0.025263412279421017,-3.0,-2.89,432.9178,0.0,8.725800000000001,0.03323191237350029,8.66,8.8,3807.0345,0.0,-4.2962,0.03577093792452193,-4.37,-4.21,922.9307,0.0,0.012400000000000001,0.0047159304490206385,0.0,0.02,0.008799999999999999,0.0,0.038200000000000005,0.006225752966509354,0.03,0.05,0.07490000000000001,0.0,0.0002,0.003736308338453881,-0.01,0.01,0.0007000000000000001,7.140000000000001,repos,repos_initial_FV.csv
-2.917,0.04318564576337841,-3.0,-2.8,425.53770000000003,0.0,8.736,0.03231098884280695,8.67,8.83,3815.937000000001,0.0,-4.3004,0.039494809785590765,-4.38,-4.19,924.7499999999999,0.0,0.012600000000000002,0.005936328831862332,0.0,0.03,0.009699999999999999,0.0,0.038000000000000006,0.00916515138991168,0.02,0.06,0.0764,0.0,-0.0028000000000000004,0.01059056183589898,-0.03,0.02,0.006,1.4280000000000002,repos,repos_initial_FV.csv
-2.8974,0.047362854643697334,-3.03,-2.83,419.85849999999994,0.0,8.738399999999999,0.035629201506629286,8.67,8.81,3818.0452000000005,0.0,-4.2909999999999995,0.036783148315499066,-4.36,-4.2,920.7017000000001,0.0,0.0102,0.003736308338453881,0.0,0.02,0.005900000000000001,0.0,0.0434,0.010509043724335723,0.02,0.06,0.0997,0.0,-0.0038,0.0059632206063502296,-0.02,0.01,0.0025,0.0,repos,repos_initial_FV.csv
-2.9141999999999997,0.03909424510078178,-2.98,-2.84,424.70450000000005,0.0,8.7412,0.034850538015933,8.65,8.81,3820.4896000000003,0.0,-4.2978,0.033364052511647944,-4.4,-4.23,923.6099,0.0,0.012800000000000002,0.005670978751503131,0.0,0.02,0.0098,0.0,0.0404,0.008475848040166836,0.03,0.06,0.08520000000000001,0.0,-0.0078000000000000005,0.006095900261651269,-0.02,-0.0,0.004900000000000002,0.0,repos,repos_initial_FV.csv
-2.9078,0.02802070662920553,-2.97,-2.84,422.80430000000007,0.0,8.7312,0.02804567702873297,8.67,8.79,3811.7319999999995,0.0,-4.290800000000001,0.03303573822392956,-4.38,-4.23,920.6027999999999,0.0,0.0108,0.002712931993250107,0.01,0.02,0.006200000000000001,0.0,0.03880000000000001,0.00620966987850401,0.02,0.05,0.07720000000000002,0.0,-0.0015999999999999999,0.005425863986500214,-0.01,0.01,0.0015999999999999999,1.4280000000000002,repos,repos_initial_FV.csv
-2.9012000000000002,0.03010913482649412,-2.98,-2.83,420.8934,0.0,8.7446,0.026773867856549706,8.66,8.79,3823.4372999999996,0.0,-4.2896,0.04118057794640567,-4.39,-4.2,920.1182,0.0,0.012000000000000002,0.006324555320336759,-0.0,0.02,0.0092,0.0,0.0406,0.010081666528902848,0.02,0.07,0.08750000000000002,0.0,-0.0002,0.004237924020083419,-0.01,0.01,0.0009000000000000001,4.284000000000001,repos,repos_initial_FV.csv
-2.8788,0.028258803937888124,-2.94,-2.83,414.41439999999994,0.0,8.761400000000002,0.02638257000369735,8.69,8.82,3838.1413,0.0,-4.277200000000001,0.03944819387500517,-4.36,-4.17,914.7998,0.0,0.0108,0.005230678732248809,0.0,0.02,0.007200000000000001,0.0,0.0398,0.00647765389628066,0.03,0.05,0.08130000000000001,0.0,-0.001,0.005,-0.01,0.01,0.0013000000000000002,1.4280000000000002,repos,repos_initial_FV.csv
