cutoff,window,with_freqs,stride,model,metric,mean_score,std_score
5,150,False,75,Random Forest,f1_macro,0.9701168118975787,0.012619288780995318
5,150,True,75,Logistic Regression,precision_macro,0.9698930316807575,0.012667083366785353
20,100,False,50,SVM,recall_macro,0.9696656528971171,0.018812275645542883
10,100,False,50,SVM,precision_macro,0.968985696242318,0.01857222521561693
20,150,False,75,Logistic Regression,precision_macro,0.9689380112110311,0.012101044948873926
10,150,False,75,Logistic Regression,precision_macro,0.9688099861131775,0.014474857298075305
5,100,True,50,Random Forest,recall_macro,0.968660361891826,0.009078051667672749
10,100,False,50,SVM,accuracy,0.9678322580645162,0.01678756786921739
10,100,False,50,SVM,f1_macro,0.9671593152647926,0.017078838349584145
10,100,False,50,SVM,recall_macro,0.965927008592435,0.015882041874176796
5,150,True,75,Logistic Regression,accuracy,0.9656127672387834,0.016442761180415454
5,150,True,75,Logistic Regression,f1_macro,0.9645796785181279,0.017183237301800876
20,150,False,75,Logistic Regression,accuracy,0.9632941884974404,0.01537906295501503
10,150,False,75,Logistic Regression,accuracy,0.9632640770852152,0.017290611614857482
20,50,False,25,SVM,precision_macro,0.963052932047753,0.006733961589448633
20,150,False,75,Logistic Regression,f1_macro,0.962082894269843,0.016158258049213132
10,150,False,75,Logistic Regression,f1_macro,0.9620397731104873,0.01809535474942124
5,150,True,75,Logistic Regression,recall_macro,0.9615714432550696,0.01935929119573617
10,50,False,25,SVM,precision_macro,0.9608815622015069,0.007902562493378016
5,150,True,75,SVM,precision_macro,0.9603110383839013,0.01574172070124738
20,50,False,25,SVM,accuracy,0.9601338645418327,0.007532476881142926
20,50,False,25,SVM,f1_macro,0.959121961893336,0.007802123130133509
20,100,False,50,Logistic Regression,precision_macro,0.9587606474345225,0.019137939490443377
10,100,False,50,Logistic Regression,precision_macro,0.9587606474345225,0.019137939490443377
5,100,True,50,SVM,precision_macro,0.9582424128139475,0.018645712932623196
5,150,True,75,SVM,accuracy,0.9582354712436013,0.01857476347774354
20,150,False,75,Logistic Regression,recall_macro,0.958064182194617,0.01811902960970363
10,150,False,75,Logistic Regression,recall_macro,0.957984817115252,0.019872811967413237
10,50,False,25,SVM,accuracy,0.9577434262948208,0.009264026703268749
5,150,True,75,SVM,f1_macro,0.9571442955848113,0.019269566296913967
5,50,True,25,SVM,precision_macro,0.9571163222384307,0.013444815061016434
20,50,False,25,SVM,recall_macro,0.9567901783982673,0.009411216174410856
10,50,False,25,SVM,f1_macro,0.9566339304668252,0.009608304680952003
5,100,True,50,SVM,accuracy,0.9565548387096776,0.016476292683839332
5,150,True,75,SVM,recall_macro,0.9558254408763197,0.021859686034245047
5,100,True,50,SVM,f1_macro,0.9556277813395638,0.016685962131076353
5,50,True,25,SVM,accuracy,0.9553657370517928,0.01496755057970493
20,50,False,25,Logistic Regression,precision_macro,0.955266813844861,0.01071446108183376
20,100,False,50,Logistic Regression,accuracy,0.9549419354838709,0.017995286699363806
10,100,False,50,Logistic Regression,accuracy,0.9549419354838709,0.017995286699363806
5,50,True,25,SVM,f1_macro,0.9542745231101855,0.015440669657125405
5,100,True,50,SVM,recall_macro,0.9542741283480056,0.015318747400215306
10,50,False,25,Logistic Regression,precision_macro,0.9541295741203155,0.010818556527019026
10,50,False,25,SVM,recall_macro,0.9540293900870204,0.01115936007229946
10,100,False,50,Logistic Regression,f1_macro,0.9537186938108937,0.018445733468574685
20,100,False,50,Logistic Regression,f1_macro,0.9537186938108937,0.018445733468574685
5,150,False,75,SVM,precision_macro,0.9532986860121225,0.012325187461044976
5,50,True,25,SVM,recall_macro,0.9526149337494474,0.01696182667319415
5,150,False,75,SVM,accuracy,0.9510388437217705,0.010706036289844414
5,100,False,50,SVM,precision_macro,0.9509218777312146,0.020213465603070503
10,100,False,50,Logistic Regression,recall_macro,0.9505639708270588,0.018069897009704735
20,100,False,50,Logistic Regression,recall_macro,0.9505639708270588,0.018069897009704735
5,150,False,75,SVM,f1_macro,0.9498137088629676,0.010867596009174417
5,100,True,50,Logistic Regression,precision_macro,0.9490334625754417,0.018982030810549194
20,50,False,25,Logistic Regression,accuracy,0.9489816733067731,0.01338975334037039
5,100,False,50,SVM,accuracy,0.9485032258064516,0.01723232448870666
10,50,False,25,Logistic Regression,accuracy,0.9473880478087651,0.014080543357514217
5,100,False,50,SVM,f1_macro,0.9473823774383249,0.017361401161901525
20,50,False,25,Logistic Regression,f1_macro,0.947342791523932,0.014036434087677437
5,150,False,75,SVM,recall_macro,0.9473333773842562,0.01018483881208005
5,100,True,50,Logistic Regression,accuracy,0.9468774193548386,0.01804148762587008
5,150,False,75,Logistic Regression,precision_macro,0.9467738878693867,0.01724554136268573
5,50,True,25,Logistic Regression,precision_macro,0.9461174316700103,0.009527549358792334
5,100,False,50,SVM,recall_macro,0.945866730783021,0.015355971241071239
