timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
5617437,-3.39,-2.8,-9.72,-0.01,-0.35,0.02,frisson
5617451,-2.19,-2.85,-10.08,-0.06,0.48,-0.03,frisson
5617465,-0.09,-2.66,-10.6,-0.08,0.94,-0.04,frisson
5617479,1.58,-2.64,-10.9,-0.04,0.88,-0.01,frisson
5617493,3.19,-2.62,-11.03,0.01,0.32,0.02,frisson
5617507,3.55,-2.57,-11.11,0.08,-0.48,0.06,frisson
5617521,2.73,-2.54,-10.83,0.14,-1.28,0.11,frisson
5617535,1.31,-2.7,-10.55,0.15,-1.84,0.13,frisson
5617549,-0.93,-2.8,-10.33,0.12,-2.03,0.13,frisson
5617563,-3.37,-3.11,-9.92,0.06,-1.38,0.09,frisson
5617577,-3.8,-3.21,-9.9,-0.04,-0.65,0.01,frisson
5617591,-3.34,-3.21,-10.06,-0.11,0.14,-0.06,frisson
5617605,-1.43,-3.2,-10.38,-0.15,0.68,-0.09,frisson
5617619,0.73,-3.0,-10.73,-0.13,0.67,-0.08,frisson
5617633,2.42,-2.98,-10.84,-0.08,0.2,-0.03,frisson
5617647,2.57,-2.98,-10.9,-0.03,-0.52,0.04,frisson
5617661,1.81,-2.96,-10.89,0.01,-1.17,0.11,frisson
5617675,-0.41,-2.94,-10.93,0.0,-1.42,0.15,frisson
5617689,-2.95,-2.89,-10.55,-0.04,-0.94,0.13,frisson
5617703,-4.81,-3.05,-10.44,-0.12,-0.08,0.06,frisson
5617717,-4.13,-3.15,-10.54,-0.21,0.91,-0.03,frisson
5617731,-1.68,-3.05,-10.96,-0.26,1.45,-0.06,frisson
5617745,1.23,-2.74,-11.27,-0.24,1.41,-0.05,frisson
5617759,3.37,-2.59,-11.35,-0.16,0.6,0.01,frisson
5617773,3.27,-2.57,-11.52,-0.06,-0.32,0.08,frisson
5617787,2.35,-2.5,-11.28,-0.0,-1.24,0.14,frisson
5617801,0.22,-2.59,-10.95,0.03,-1.8,0.17,frisson
5617815,-1.6,-2.65,-10.54,-0.01,-1.9,0.17,frisson
5617829,-4.26,-2.63,-10.16,-0.06,-1.3,0.13,frisson
5617843,-5.52,-2.69,-9.95,-0.14,-0.28,0.05,frisson
5617857,-4.09,-2.78,-10.33,-0.22,0.55,-0.02,frisson
5617871,-1.37,-2.6,-10.77,-0.24,1.01,-0.03,frisson
5617885,0.74,-2.48,-11.07,-0.2,0.85,0.01,frisson
5617899,1.65,-2.45,-11.22,-0.14,0.33,0.06,frisson
5617913,1.77,-2.38,-11.34,-0.07,-0.34,0.11,frisson
5617927,0.96,-2.4,-11.38,-0.02,-0.94,0.16,frisson
5617941,0.03,-2.31,-11.36,0.0,-1.33,0.19,frisson
5617955,-1.25,-2.31,-11.08,0.02,-1.5,0.22,frisson
5617969,-3.59,-2.4,-10.61,-0.0,-1.08,0.2,frisson
5617983,-3.91,-2.63,-10.52,-0.06,-0.5,0.15,frisson
5617997,-4.25,-2.67,-10.67,-0.11,0.22,0.13,frisson
5618011,-2.79,-2.72,-10.89,-0.16,0.84,0.1,frisson
5618025,-1.24,-2.62,-11.18,-0.17,0.98,0.11,frisson
5618039,-0.3,-2.53,-11.37,-0.15,0.86,0.15,frisson
5618053,-0.36,-2.29,-11.29,-0.1,0.6,0.19,frisson
5618067,0.43,-2.09,-11.23,-0.06,0.21,0.2,frisson
5618081,0.48,-2.1,-11.17,-0.01,-0.35,0.22,frisson
5618095,0.89,-1.99,-11.11,0.05,-1.02,0.24,frisson
5618109,0.13,-2.22,-10.8,0.08,-1.63,0.27,frisson
5618123,-1.09,-2.26,-10.38,0.08,-2.03,0.29,frisson
5618137,-3.91,-2.4,-10.04,0.05,-1.81,0.28,frisson
5618151,-5.52,-2.57,-9.9,-0.03,-1.14,0.22,frisson
5618165,-6.81,-2.51,-9.98,-0.13,-0.1,0.15,frisson
5618179,-5.96,-2.59,-10.22,-0.22,0.97,0.08,frisson
5618193,-3.53,-2.43,-10.59,-0.27,1.59,0.04,frisson
5618207,-1.28,-2.18,-10.89,-0.27,1.74,0.06,frisson
5618221,1.38,-2.12,-11.01,-0.22,1.17,0.1,frisson
5618235,1.68,-2.0,-11.15,-0.15,0.29,0.16,frisson
5618249,1.23,-1.92,-11.4,-0.1,-0.54,0.2,frisson
5618263,0.47,-1.81,-11.32,-0.05,-1.25,0.24,frisson
5618277,-1.4,-1.65,-11.08,-0.02,-1.61,0.27,frisson
5618291,-4.13,-1.71,-10.4,-0.01,-1.34,0.28,frisson
5618305,-5.35,-1.91,-9.84,-0.06,-0.68,0.24,frisson
5618319,-5.32,-2.03,-9.96,-0.13,0.1,0.2,frisson
5618333,-4.41,-2.01,-10.48,-0.19,0.85,0.18,frisson
5618347,-2.16,-1.94,-10.92,-0.19,1.09,0.18,frisson
5618361,-0.8,-1.97,-11.41,-0.15,0.9,0.2,frisson
5618375,0.56,-1.88,-11.43,-0.1,0.33,0.22,frisson
5618389,0.25,-1.64,-11.67,-0.04,-0.39,0.26,frisson
5618403,-0.14,-1.4,-11.58,0.04,-1.0,0.28,frisson
5618417,-0.98,-1.42,-11.25,0.11,-1.58,0.31,frisson
5618431,-1.99,-1.61,-10.82,0.15,-1.9,0.34,frisson
5618445,-3.0,-1.87,-10.37,0.16,-1.95,0.35,frisson
5618459,-5.49,-2.02,-9.89,0.14,-1.5,0.35,frisson
5618473,-6.02,-2.12,-9.82,0.07,-0.79,0.31,frisson
5618487,-5.69,-2.01,-9.99,0.01,-0.15,0.28,frisson
5618501,-5.23,-2.01,-10.23,-0.03,0.53,0.28,frisson
5618515,-3.83,-1.96,-10.22,-0.05,0.89,0.28,frisson
5618529,-3.48,-2.01,-10.14,-0.08,1.14,0.29,frisson
5618543,-2.06,-1.87,-10.21,-0.11,1.07,0.3,frisson
5618557,-1.58,-1.67,-10.55,-0.11,0.75,0.32,frisson
5618571,-0.42,-1.41,-10.69,-0.09,0.15,0.33,frisson
5618585,-0.39,-1.15,-11.01,-0.03,-0.63,0.37,frisson
