timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1551976,-9.87,-1.50,-2.23,-0.03,0.82,-0.07,repos
1551990,-9.94,-1.59,-2.22,-0.01,0.99,-0.08,repos
1552004,-9.64,-1.52,-2.43,0.02,1.12,-0.10,repos
1552018,-9.44,-1.67,-2.62,-0.00,1.19,-0.11,repos
1552032,-9.22,-1.74,-2.77,-0.02,1.20,-0.13,repos
1552046,-9.20,-1.72,-2.77,-0.03,1.21,-0.15,repos
1552060,-9.34,-1.63,-2.99,-0.05,1.26,-0.15,repos
1552074,-9.30,-1.72,-3.05,-0.05,1.36,-0.16,repos
1552088,-9.42,-1.68,-3.27,-0.06,1.49,-0.17,repos
1552102,-9.18,-1.75,-3.35,-0.07,1.60,-0.17,repos
1552116,-8.99,-1.71,-3.57,-0.08,1.63,-0.18,repos
1552130,-8.81,-1.77,-3.91,-0.09,1.60,-0.18,repos
1552144,-8.60,-1.80,-4.24,-0.10,1.53,-0.18,repos
1552158,-8.50,-1.88,-4.52,-0.11,1.43,-0.18,repos
1552172,-8.45,-1.85,-4.74,-0.12,1.35,-0.18,repos
1552186,-8.41,-1.87,-4.87,-0.12,1.30,-0.18,repos
1552200,-8.33,-1.84,-4.96,-0.11,1.25,-0.18,repos
1552214,-8.43,-1.84,-5.20,-0.10,1.24,-0.18,repos
1552228,-8.52,-1.92,-5.51,-0.08,1.25,-0.17,repos
1552242,-8.37,-1.91,-5.74,-0.06,1.27,-0.17,repos
1552256,-8.32,-1.95,-5.90,-0.05,1.30,-0.16,repos
1552270,-8.15,-2.00,-6.08,-0.04,1.33,-0.15,repos
1552284,-7.95,-1.95,-6.11,-0.04,1.36,-0.14,repos
1552298,-7.83,-2.00,-6.22,-0.04,1.38,-0.13,repos
1552312,-7.61,-1.98,-6.23,-0.03,1.37,-0.12,repos
1552326,-7.49,-2.06,-6.26,-0.03,1.35,-0.10,repos
1552340,-7.50,-1.96,-6.50,-0.03,1.29,-0.09,repos
1552354,-7.73,-1.92,-6.52,-0.02,1.29,-0.09,repos
1552368,-7.85,-1.95,-6.78,-0.02,1.35,-0.09,repos
1552382,-7.69,-2.04,-7.06,-0.01,1.41,-0.10,repos
